Owner Address,Count,Total Supposed Barb,Received Barb,Delta Barb
WZG77KBNLMMXTL2GDEFHEQZFOL6RCGVLNG7LDDSP6FAAC5APXR6ZGCUIOE,1,45745.65416,0,45745.65416
BVMBCG67SVNOOF6KC7SIIIVEGMF6UH4SZBN5GYPCFQ624JSAGJGK5R5YEE,1,45745.65416,0,45745.65416
SULNHFGGQQFVBWZDS4WFYTJQ6PEK3JVDNCXDF7XPD2DMWAXBGXW3BJAW2A,1,45745.65416,0,45745.65416
RR2A7QCL3A6D4QXFCORIDQ56IYMPGL2LOF5UNF6GCEWAY67PS2I7NWGNME,1,45745.65416,0,45745.65416
SZZUDWJXTJT4CUBB2CWDWGTTY2L3UQEIVIPYSRTLMJYXJC6PGWM4RBKNIM,10,457456.5416,137236.96248,320219.57912
7FQBLA7I45KS7P3QKNP6DRDSAEQA4N4TTJWV6GGJANJGYOXOX4H5BI75FY,1,45745.65416,0,45745.65416
6BAUSC2VDXRBL5SHYPEEJNLVQ5OMUTZBZTKDEE2F3B67FTCSLHKJBFP5XE,1,45745.65416,0,45745.65416
WDBN4DQG4S4ZHNOYVGXGZ25TGR5S757QNPDBNFJVODYZYL52AOTZT4FGB4,2,91491.30832,0,91491.30832
7EGXCJAMFLI5QTWXLCNO3TP2MQVBWNXAHZKL3JKYFD2WHQ7BEHYGCSY54Q,1,45745.65416,0,45745.65416
JLBU7F2C4JMCMPZBYPCIUNGG2T3TYKZ676ZY66RUD3UQDBHARWCRZCRWLM,1,45745.65416,0,45745.65416
V4NCYR5I52DLODXSM54V4OCUAAJMG2ZPBNZU7334T6LQ5IPL4P5S32KCIQ,1,45745.65416,0,45745.65416
M5UITWDSVGNTXSXXJHJGZ3EVVOTJ57OEDWQYKV5WF72MMBKA4FLPQKN7R4,1,45745.65416,0,45745.65416
NAFQ5LCSG7QIDVZCEDCG7YUCUSC4BUKQKHINN7NFIQIPKC364VSMTUHSYU,1,45745.65416,0,45745.65416
RGVGATL6B67EW542FNVRR3SOV4CD36NU4JIWZPRNHYHWE3L5I7TKMG4EZQ,1,45745.65416,0,45745.65416
4NTTXZ4KEELWIMZHM4KFS4SGPRHSA6XZ5LJ65HFC5FT7BJSM2IWREQYMSA,2,91491.30832,45745.65416,45745.65416
PAWKO2WLERN4JNQNRA6VD3TEXTUFBVQ3SC3Y5JR6EFLW3EDGZI4WQVFXRQ,1,45745.65416,0,45745.65416
55ASUH4KFO5FQXFWBRKEUC72JZSXVPQJXLLACLFYSSHOIXORXU67LKTSPQ,2,91491.30832,45745.65416,45745.65416
DN3T5YTKTZTPBGX5EMDA6BJG63VTZS2GC7SJDJGV7YSN3XZNV6AP3EF22U,1,45745.65416,0,45745.65416
D2TN2YJAF4V76K2ATF43TZFN7KKCNEBXENEB2CE3JCJREAMAMEIJBDLJ7Y,1,45745.65416,0,45745.65416
2RSDU35JPGMLCS35AI2MHBHFZCX3PCVJF2WCRYE42TSDK4YWUUYZLZ2UGQ,2,91491.30832,45745.65416,45745.65416
L3NKZIIWZD4XNKOXOTVDVTFGGKAU2NVDLZ4SCOSXSNMPCE554YW7YLRSYU,1,45745.65416,0,45745.65416
RYAMX6ZCK3PDTLYFQEXXBIH7CIOXEYPSNZIBVWEKDVAU7ROHSYY5FA2GTY,11,503202.19576,137236.96248,365965.23328
FV6ULFQITUJF5NLUFWCPAW3X2IWKAKFN6L257WQUER2H3JHRXM2BKJYJHA,1,45745.65416,0,45745.65416
LFJBYAIMBEI2SPKBUMSVEEAXA4GLZUWTCMRSP6362EF6CKBHSBJYOH5YOU,1,45745.65416,0,45745.65416
OL6YOOVF6IOHFXG2TXJZQRCU6PBSTGRUCBBWONKRPUIO6UR4WOTMDAHO3M,1,45745.65416,0,45745.65416
VVOI3GMKLMIVG72MMR6WYFQUQ7N6UJXRQ2P2732RF2F7WDTRJLIKTZPP3Y,1,45745.65416,0,45745.65416
55K26RPGREHIJEQ6MTSTUWKDZ5HL73R3EKSWQHDJC2VZVYPJCESP7ABW7I,2,91491.30832,0,91491.30832
LZTWSOM5DQ6FI2KQ63EK6BERE3P7V6IFKHIHDXWUJUTURN4CR7DPEYW5BI,1,45745.65416,0,45745.65416
UOKPHXWIIIAMMGSAVYHDUGJ5FUU7KYY7OZPYHU2KXRPNQNRB6QH2OZNKXA,1,45745.65416,0,45745.65416
XDBNE3DYITL2G77I37TLKT4JSLR3U7MO5S6MTCZHB5FF25AZVJMFEOWJ6E,17,777676.12072,0,777676.12072
GQQ2VFPRHP5FNVZK554LYAA3ZC3UV5TOIAASS4W65QWJBMHBEI4W4PF76Y,1,45745.65416,0,45745.65416
54J5GH3ODN6BFKT5NMFRVHJPQACDLFAP52JEF5A2LJGVNKXBOWJAA6DBZM,1,45745.65416,0,45745.65416
O6NGJFXNCEWQNZ4DOW4QK65KKRJV4AUJXY6ZDQPLNEBYGKYBQXLIHAADZA,1,45745.65416,0,45745.65416
4HOLXXSOQUHKKFMLBQJXGMAGIZ4537AK3VPJPSRU5FKVDOX4ONLJ756LPI,1,45745.65416,0,45745.65416
MIYXQAGY2KB7MLOGJVJ6NOXNTGNVRJSDD6U62XJVQCPE5OCYUTNLJDEUGI,2,91491.30832,45745.65416,45745.65416
JWDGCJBB557BY7HJQZ4JFNEHBMKVKEAHAV4ZNDCMU2VPDCE5UPX243RYZQ,1,45745.65416,0,45745.65416
PPELJ3L37JO52TVJ4AEZKELU2JSBAIUQJBPOJKHS2N3PVELXEU6UTWRWX4,1,45745.65416,0,45745.65416
TKFTWWKBXMZJOLZYK5V3OIZTZ6QIUQDSNJQR4V54C7D5D4CC6WVUL76CXI,1,45745.65416,0,45745.65416
POHKRCRQL5R4UBC2VHOQZJCL5NE4U4NKB5QGTNXFXPDEPIBTZPCKX4CBQM,1,45745.65416,0,45745.65416
ZZ33E7FV5POGBZWMADNQSZT6I6PXRDTUAWEDGDYPFJDTZMOQZW7PJNVORE,3,137236.96248,91491.30832,45745.65415999999
7WU72BG74E5QGL7YNCZDKA2ZI5NHCJWF6EPMMTRSUPLDGUJL7SEVBZI2IU,1,45745.65416,0,45745.65416
6EO426KUSP5KZGCLDM6TWSFOCQNWE75HQK74OL6C5HJYCCHB26SZL2CQAQ,1,45745.65416,0,45745.65416
